N,Iterative,Dynamic Programming,Recursive
1,1,0,0
2,3,0,1
3,6,0,4
4,10,0,11
5,15,0,26
6,21,0,57
7,28,0,120
8,36,0,247
9,45,0,502
10,55,0,1013
11,66,0,2036
12,78,0,4083
13,91,0,8178
14,105,0,16369
15,120,0,32752
16,136,0,65519
17,153,0,131054
18,171,0,262125
19,190,0,524268
20,210,0,1048555
21,231,0,2097130
22,253,0,4194281
23,276,0,8388584
24,300,0,16777191
25,325,0,33554406
